problem_name,problem_type,batch,timestamp,num_cities,num_jobs,population_size,max_generations,stagnation_limit,mode,mutation_rate,tournament_size,diversity_percent,success,initial_fitness,final_fitness,improvement_percent,solution_generation,total_generations,elapsed_time_seconds,avg_time_per_generation,crossover_method,crossover_type,early_stopped,final_stagnation,error
TSPJ_1M,Medium,Batch_01,2025-12-07T18:09:59.540137,422,422,1000,3000,300,0,0.3,5,20,True,31369.0,12519.0,60.09117281392457,2955,3000,287.6464853286743,0.09547065973333327,Batch (Auto EAX/OX),OX (Order Crossover),False,33,
TSPJ_2M,Medium,Batch_01,2025-12-07T18:14:48.349795,405,405,1000,3000,300,0,0.3,5,20,True,33023.0,12337.0,62.64118947400297,2823,3000,288.75076150894165,0.09597718106666676,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_3M,Medium,Batch_01,2025-12-07T18:18:51.810458,453,453,1000,3000,300,0,0.3,5,20,True,35108.0,14075.0,59.909422353879464,2977,3000,243.4000723361969,0.08082727503333323,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_4M,Medium,Batch_01,2025-12-07T18:22:04.084211,421,421,1000,3000,300,0,0.3,5,20,True,33237.0,13249.0,60.13779823690465,2982,3000,192.19331407546997,0.06376003936666662,Batch (Auto EAX/OX),OX (Order Crossover),False,9,
TSPJ_5M,Medium,Batch_01,2025-12-07T18:25:12.299670,498,498,1000,3000,300,0,0.3,5,20,True,38456.0,14451.0,62.42198876638236,2995,3000,188.13619351387024,0.06239954383333342,Batch (Auto EAX/OX),OX (Order Crossover),False,49,
TSPJ_6M,Medium,Batch_01,2025-12-07T18:25:47.949006,416,416,1000,3000,300,0,0.3,5,20,True,4272.0,1235.0,71.09082397003745,176,477,35.623833417892456,0.073687500420168,Batch (Auto EAX/OX),OX (Order Crossover),True,224,
TSPJ_7M,Medium,Batch_01,2025-12-07T18:28:38.842380,470,470,1000,3000,300,0,0.3,5,20,True,36695.0,14867.0,59.48494345278649,2984,3000,170.80707812309265,0.05662271436666667,Batch (Auto EAX/OX),OX (Order Crossover),False,32,
TSPJ_8M,Medium,Batch_01,2025-12-07T18:32:01.409660,495,495,1000,3000,300,0,0.3,5,20,True,37033.0,14561.0,60.681014230551135,2958,3000,202.49397897720337,0.06718833886666672,Batch (Auto EAX/OX),OX (Order Crossover),False,4,
TSPJ_9M,Medium,Batch_01,2025-12-07T18:35:05.839931,418,418,1000,3000,300,0,0.3,5,20,True,31661.0,12736.0,59.773854268658596,2951,3000,184.3463704586029,0.0611518745,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_10M,Medium,Batch_01,2025-12-07T18:38:01.682359,475,475,1000,3000,300,0,0.3,5,20,True,38104.0,14849.0,61.03033802225488,2919,3000,175.75714087486267,0.0582769383666666,Batch (Auto EAX/OX),OX (Order Crossover),False,203,
TSPJ_11M,Medium,Batch_01,2025-12-07T18:41:04.838129,428,428,1000,3000,300,0,0.3,5,20,True,33637.0,13395.0,60.17778042037043,2995,3000,183.09282207489014,0.060723969500000134,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_12M,Medium,Batch_01,2025-12-07T18:44:20.436645,425,425,1000,3000,300,0,0.3,5,20,True,33551.0,12870.0,61.64048761586838,2957,3000,195.51754355430603,0.06487157116666668,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_13M,Medium,Batch_01,2025-12-07T18:47:48.608965,491,491,1000,3000,300,0,0.3,5,20,True,38689.0,16526.0,57.285016412933906,2928,3000,208.0915777683258,0.06905508036666674,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_14M,Medium,Batch_01,2025-12-07T18:50:54.632047,431,431,1000,3000,300,0,0.3,5,20,True,34992.0,13994.0,60.008001828989485,2983,3000,185.94446873664856,0.06168155310000007,Batch (Auto EAX/OX),OX (Order Crossover),False,1,
TSPJ_15M,Medium,Batch_01,2025-12-07T18:54:25.815231,456,456,1000,3000,300,0,0.3,5,20,True,35595.0,14560.0,59.09537856440511,2987,3000,211.11862206459045,0.07006706273333342,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_16M,Medium,Batch_01,2025-12-07T18:57:26.578207,479,479,1000,3000,300,0,0.3,5,20,True,37801.0,14340.0,62.064495648263275,2992,3000,180.68072962760925,0.05991388156666677,Batch (Auto EAX/OX),OX (Order Crossover),False,30,
TSPJ_17M,Medium,Batch_01,2025-12-07T19:00:45.186756,458,458,1000,3000,300,0,0.3,5,20,True,37176.0,14856.0,60.038734667527436,2955,3000,198.52458310127258,0.06587327966666674,Batch (Auto EAX/OX),OX (Order Crossover),False,37,
TSPJ_18M,Medium,Batch_01,2025-12-07T19:04:19.406466,460,460,1000,3000,300,0,0.3,5,20,True,36353.0,14389.0,60.418672461695046,2798,3000,214.1558256149292,0.07108316663333336,Batch (Auto EAX/OX),OX (Order Crossover),False,102,
TSPJ_19M,Medium,Batch_01,2025-12-07T19:07:05.173452,426,426,1000,3000,300,0,0.3,5,20,True,34027.0,14548.0,57.24571663678844,2158,2459,165.69241213798523,0.06706006163547598,Batch (Auto EAX/OX),OX (Order Crossover),True,242,
TSPJ_20M,Medium,Batch_01,2025-12-07T19:10:19.423383,438,438,1000,3000,300,0,0.3,5,20,True,34373.0,13530.0,60.63770983039013,2970,3000,194.16551113128662,0.06440063103333328,Batch (Auto EAX/OX),OX (Order Crossover),False,14,
TSPJ_21M,Medium,Batch_01,2025-12-07T19:13:16.758820,454,454,1000,3000,300,0,0.3,5,20,True,35764.0,15690.0,56.129068336875065,2886,3000,177.26417899131775,0.058769023133333494,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_22M,Medium,Batch_01,2025-12-07T19:16:34.894208,490,490,1000,3000,300,0,0.3,5,20,True,38600.0,21215.0,45.038860103626945,2975,3000,198.05265855789185,0.06569051240000011,Batch (Auto EAX/OX),OX (Order Crossover),False,4,
TSPJ_23M,Medium,Batch_01,2025-12-07T19:19:56.855417,406,406,1000,3000,300,0,0.3,5,20,True,31425.0,19190.0,38.93396976929196,2997,3000,201.87455010414124,0.06699111966666683,Batch (Auto EAX/OX),OX (Order Crossover),False,2,
TSPJ_24M,Medium,Batch_01,2025-12-07T19:21:21.719219,471,471,1000,3000,300,0,0.3,5,20,True,35228.0,20809.0,40.93050982173271,2998,3000,84.78045892715454,0.027947014599999945,Batch (Auto EAX/OX),OX (Order Crossover),False,2,
TSPJ_25M,Medium,Batch_01,2025-12-07T19:22:32.879769,492,492,1000,3000,300,0,0.3,5,20,True,37919.0,22162.0,41.554365885176296,2976,3000,71.08211779594421,0.023301327600000022,Batch (Auto EAX/OX),OX (Order Crossover),False,2,
TSPJ_26M,Medium,Batch_02,2025-12-07T19:23:38.766937,427,427,1000,3000,300,0,0.3,5,20,True,33957.0,20811.0,38.71366728509585,2975,3000,65.80633854866028,0.021558341700000004,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_27M,Medium,Batch_02,2025-12-07T19:24:46.538858,454,454,1000,3000,300,0,0.3,5,20,True,35386.0,19775.0,44.11631718758831,2989,3000,67.68843054771423,0.022177410066666705,Batch (Auto EAX/OX),OX (Order Crossover),False,8,
TSPJ_28M,Medium,Batch_02,2025-12-07T19:25:53.886290,445,445,1000,3000,300,0,0.3,5,20,True,34670.0,19659.0,43.296798384770696,2981,3000,67.25984907150269,0.022036457500000006,Batch (Auto EAX/OX),OX (Order Crossover),False,19,
TSPJ_29M,Medium,Batch_02,2025-12-07T19:26:57.440307,404,404,1000,3000,300,0,0.3,5,20,True,31405.0,18590.0,40.80560420315236,2989,3000,63.46772813796997,0.02078395816666669,Batch (Auto EAX/OX),OX (Order Crossover),False,107,
TSPJ_30M,Medium,Batch_02,2025-12-07T19:28:03.320642,426,426,1000,3000,300,0,0.3,5,20,True,32979.0,16859.0,48.87959004214804,2899,3000,65.81213665008545,0.021558550533333345,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_31M,Medium,Batch_02,2025-12-07T19:29:06.768778,402,402,1000,3000,300,0,0.3,5,20,True,30749.0,16351.0,46.82428696868191,2981,3000,63.37886047363281,0.020758124533333384,Batch (Auto EAX/OX),OX (Order Crossover),False,64,
TSPJ_32M,Medium,Batch_02,2025-12-07T19:30:15.267937,460,460,1000,3000,300,0,0.3,5,20,True,36102.0,19493.0,46.005761453659076,2896,3000,68.4146683216095,0.022411576733333324,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_33M,Medium,Batch_02,2025-12-07T19:31:25.593992,480,480,1000,3000,300,0,0.3,5,20,True,38351.0,19674.0,48.700164272118066,2993,3000,70.25638222694397,0.02302860050000002,Batch (Auto EAX/OX),OX (Order Crossover),False,130,
TSPJ_34M,Medium,Batch_02,2025-12-07T19:32:33.248426,446,446,1000,3000,300,0,0.3,5,20,True,35155.0,18833.0,46.42867301948514,2930,3000,67.56474161148071,0.02213360756666668,Batch (Auto EAX/OX),OX (Order Crossover),False,55,
TSPJ_35M,Medium,Batch_02,2025-12-07T19:33:41.283463,451,451,1000,3000,300,0,0.3,5,20,True,34783.0,18075.0,48.034959606704426,2995,3000,67.96624493598938,0.022273924366666607,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_36M,Medium,Batch_02,2025-12-07T19:34:46.486043,419,419,1000,3000,300,0,0.3,5,20,True,32377.0,17331.0,46.47126046267412,2948,3000,65.11537313461304,0.021328068966666714,Batch (Auto EAX/OX),OX (Order Crossover),False,40,
TSPJ_37M,Medium,Batch_02,2025-12-07T19:35:57.870619,495,495,1000,3000,300,0,0.3,5,20,True,36894.0,19196.0,47.96985959776657,2983,3000,71.31486678123474,0.02336454416666666,Batch (Auto EAX/OX),OX (Order Crossover),False,25,
TSPJ_38M,Medium,Batch_02,2025-12-07T19:37:06.591416,464,464,1000,3000,300,0,0.3,5,20,True,37482.0,19377.0,48.30318552905394,2991,3000,68.63220548629761,0.022500099533333342,Batch (Auto EAX/OX),OX (Order Crossover),False,53,
TSPJ_39M,Medium,Batch_02,2025-12-07T19:38:14.999163,457,457,1000,3000,300,0,0.3,5,20,True,36144.0,16569.0,54.158366533864545,2984,3000,68.31611013412476,0.0223865382,Batch (Auto EAX/OX),OX (Order Crossover),False,106,
TSPJ_40M,Medium,Batch_02,2025-12-07T19:39:13.956768,403,403,1000,3000,300,0,0.3,5,20,True,30742.0,14860.0,51.6622210656431,2470,2771,58.89070415496826,0.02084990075812278,Batch (Auto EAX/OX),OX (Order Crossover),True,230,
TSPJ_41M,Medium,Batch_02,2025-12-07T19:40:18.446606,451,451,1000,3000,300,0,0.3,5,20,True,34280.0,18385.0,46.3681446907818,2551,2852,64.40421080589294,0.02219113865310419,Batch (Auto EAX/OX),OX (Order Crossover),True,249,
