problem_name,timestamp,num_cities,kernel_type,population_size,num_generations,initial_fitness,final_fitness,improvement,total_time,avg_time_per_gen,init_time,fitness_time,crossover_time,mutation_time,problem_type
TSPJ_78M,2025-12-07T15:17:08.269789,404,Original,500,10,36272.2,30190.6,-16.77,1656.0,165.6,617.0,11.55,894.86,64.63,medium
TSPJ_95M,2025-12-07T15:17:10.282974,474,Original,500,10,40614.5,34267.0,-15.63,1764.0,176.4,507.0,13.23,1112.84,65.01,medium
TSPJ_90M,2025-12-07T15:17:12.431187,497,Original,500,10,42752.6,37098.0,-13.23,1898.0,189.8,507.0,13.88,1245.66,65.22,medium
TSPJ_77M,2025-12-07T15:17:14.369453,467,Original,500,10,39801.0,33862.9,-14.92,1694.0,169.4,503.0,13.03,1048.25,64.08,medium
TSPJ_86M,2025-12-07T15:17:16.146542,421,Original,500,10,35864.4,31143.1,-13.16,1532.0,153.2,500.0,11.89,891.78,63.58,medium
TSPJ_99M,2025-12-07T15:17:18.141018,470,Original,500,10,40900.2,35194.8,-13.95,1750.0,175.0,507.0,12.96,1099.32,64.81,medium
TSPJ_85M,2025-12-07T15:17:20.052446,457,Original,500,10,39633.8,32887.4,-17.02,1662.0,166.2,499.0,12.78,1019.82,64.3,medium
TSPJ_76M,2025-12-07T15:17:22.007305,467,Original,500,10,40770.1,34933.6,-14.32,1710.0,171.0,497.0,13.35,1068.64,64.73,medium
TSPJ_80M,2025-12-07T15:17:23.896044,447,Original,500,10,37615.4,32323.1,-14.07,1644.0,164.4,500.0,12.68,1000.71,64.72,medium
TSPJ_92M,2025-12-07T15:17:25.867756,459,Original,500,10,38893.6,32778.1,-15.72,1721.0,172.1,500.0,12.91,1077.02,65.08,medium
TSPJ_89M,2025-12-07T15:17:27.617877,413,Original,500,10,34866.5,29481.9,-15.44,1505.0,150.5,495.0,11.7,869.96,63.92,medium
TSPJ_79M,2025-12-07T15:17:29.763414,496,Original,500,10,42903.3,35799.9,-16.56,1900.0,190.0,508.0,14.01,1245.83,65.94,medium
TSPJ_91M,2025-12-07T15:17:31.523999,414,Original,500,10,36265.0,30208.5,-16.7,1516.0,151.6,496.0,11.54,879.53,63.51,medium
TSPJ_83M,2025-12-07T15:17:33.295295,427,Original,500,10,38971.4,32537.7,-16.51,1527.0,152.7,500.0,12.03,884.12,64.46,medium
TSPJ_87M,2025-12-07T15:17:35.375781,486,Original,500,10,40400.2,35140.3,-13.02,1835.0,183.5,500.0,13.66,1191.16,65.0,medium
TSPJ_96M,2025-12-07T15:17:37.167451,425,Original,500,10,37108.0,31552.4,-14.97,1547.0,154.7,497.0,12.01,908.65,64.1,medium
TSPJ_82M,2025-12-07T15:17:39.073268,442,Original,500,10,37437.7,31729.7,-15.25,1656.0,165.6,532.0,12.46,981.98,63.76,medium
TSPJ_93M,2025-12-07T15:17:40.847084,419,Original,500,10,35414.7,29152.2,-17.68,1524.0,152.4,496.0,11.7,886.39,64.09,medium
TSPJ_98M,2025-12-07T15:17:42.629473,424,Original,500,10,36216.4,30147.2,-16.76,1537.0,153.7,494.0,11.92,901.52,64.03,medium
TSPJ_84M,2025-12-07T15:17:44.511400,442,Original,500,10,39591.1,33201.9,-16.14,1637.0,163.7,491.0,12.34,1002.76,64.77,medium
TSPJ_88M,2025-12-07T15:17:46.315218,421,Original,500,10,34706.1,28406.2,-18.15,1559.0,155.9,497.0,11.81,920.5,64.0,medium
TSPJ_100M,2025-12-07T15:17:48.343310,479,Original,500,10,40796.6,35496.3,-12.99,1783.0,178.3,502.0,13.58,1134.31,66.28,medium
TSPJ_94M,2025-12-07T15:17:50.082564,405,Original,500,10,35879.4,30753.9,-14.29,1494.0,149.4,497.0,11.57,856.32,63.78,medium
TSPJ_81M,2025-12-07T15:17:51.791373,401,Original,500,10,35703.1,29479.8,-17.43,1464.0,146.4,501.0,11.5,823.26,63.43,medium
TSPJ_97M,2025-12-07T15:17:53.832666,475,Original,500,10,41354.2,35337.1,-14.55,1796.0,179.6,502.0,13.28,1149.17,65.23,medium
TSPJ_63M,2025-12-07T15:17:55.885982,480,Original,500,10,41889.8,35167.0,-16.05,1804.0,180.4,496.0,13.48,1163.5,64.87,medium
TSPJ_61M,2025-12-07T15:17:57.777558,444,Original,500,10,37361.6,31899.7,-14.62,1646.0,164.6,495.0,12.46,1008.12,64.66,medium
TSPJ_58M,2025-12-07T15:17:59.877803,486,Original,500,10,42116.2,36678.8,-12.91,1855.0,185.5,499.0,13.5,1210.87,65.17,medium
TSPJ_66M,2025-12-07T15:18:01.879304,463,Original,500,10,39468.1,33981.8,-13.9,1750.0,175.0,505.0,13.05,1101.18,64.8,medium
TSPJ_60M,2025-12-07T15:18:03.704975,427,Original,500,10,36271.0,30005.9,-17.27,1581.0,158.1,506.0,11.96,934.32,63.79,medium
TSPJ_74M,2025-12-07T15:18:05.463544,410,Original,500,10,35378.9,30440.8,-13.96,1508.0,150.8,496.0,11.5,871.62,63.66,medium
TSPJ_71M,2025-12-07T15:18:07.333434,440,Original,500,10,38851.6,31870.9,-17.97,1624.0,162.4,498.0,12.34,983.45,64.38,medium
TSPJ_73M,2025-12-07T15:18:09.189673,435,Original,500,10,37287.4,32377.7,-13.17,1611.0,161.1,495.0,12.2,973.64,64.52,medium
TSPJ_72M,2025-12-07T15:18:11.314038,492,Original,500,10,42388.6,35738.2,-15.69,1879.0,187.9,506.0,13.96,1226.03,66.41,medium
TSPJ_52M,2025-12-07T15:18:13.259471,451,Original,500,10,38037.5,32170.2,-15.43,1700.0,170.0,501.0,12.75,1055.61,65.21,medium
TSPJ_69M,2025-12-07T15:18:15.254413,465,Original,500,10,39803.0,34035.0,-14.49,1749.0,174.9,497.0,13.0,1107.33,65.5,medium
TSPJ_65M,2025-12-07T15:18:17.405540,500,Original,500,10,42334.9,35774.5,-15.5,1905.0,190.5,505.0,14.04,1253.96,66.1,medium
TSPJ_64M,2025-12-07T15:18:19.329523,444,Original,500,10,36989.5,30773.3,-16.81,1680.0,168.0,502.0,12.43,1036.12,64.43,medium
TSPJ_55M,2025-12-07T15:18:21.374102,476,Original,500,10,41708.4,35566.5,-14.73,1795.0,179.5,503.0,13.36,1147.58,65.32,medium
