Experiment,Run,Pop_Size,Mut_Rate,Tour_Size,Div_Perc,Stag_Lim,Cost_Aware,Dataset,Best_Fitness,Solution_Gen,Total_Gens,Total_Time,Time_Per_Gen
1,1,1000,0.2,3,15,1000,0,berlin52,12101.1,3560,5000,1568.97,0.440597
1,1,1000,0.2,3,15,1000,0,Dataset Name,Best Fitness,Solution Generation,Total Generations,Total Time (s),Time Per Generation (s)
1,1,1000,0.2,3,15,1000,0,berlin52,11958.4,4320,5000,1629.28,0.377061
1,2,1000,0.2,3,15,1000,0,berlin52,11833.3,4470,5000,73.3238,0.0163999
1,2,1000,0.2,3,15,1000,0,eil101,1101.96,4988,5000,81.9469,0.0164255
1,2,1000,0.2,3,15,1000,0,eil51,661.63,4988,5000,72.5497,0.0145419
1,2,1000,0.2,3,15,1000,0,eil76,876.46,4724,5000,76.7593,0.0162454
1,2,1000,0.2,3,15,1000,0,fri26,1366,1639,5000,36.5535,0.0222887
1,2,1000,0.2,3,15,1000,0,gr17,2760,1204,5000,29.8578,0.0247782
1,2,1000,0.2,3,15,1000,0,gr21,8397,2400,5000,46.6615,0.0194342
1,2,1000,0.2,3,15,1000,0,gr24,1838,2328,5000,45.8965,0.0197065
1,2,1000,0.2,3,15,1000,0,gr48,7577,4265,5000,72.1153,0.0169047
1,3,1000,0.2,3,15,1000,0,berlin52,12053.1,3296,5000,63.0728,0.0191304
1,3,1000,0.2,3,15,1000,0,eil101,1044.68,4849,5000,82.1551,0.0169392
1,3,1000,0.2,3,15,1000,0,eil51,638.17,3360,5000,63.3254,0.0188412
1,3,1000,0.2,3,15,1000,0,eil76,885.21,4261,5000,77.203,0.0181143
1,3,1000,0.2,3,15,1000,0,fri26,1283,494,5000,20.8324,0.0420856
1,3,1000,0.2,3,15,1000,0,gr17,2760,806,5000,24.5915,0.0304727
1,3,1000,0.2,3,15,1000,0,gr21,8306,579,5000,21.7295,0.0374646
1,3,1000,0.2,3,15,1000,0,gr24,1861,613,5000,22.3171,0.0363471
1,3,1000,0.2,3,15,1000,0,gr48,7454,4998,5000,72.7329,0.0145495
